sort v2024,species_code,Clements v2024b change,text for website v2024b,category,English name,scientific name,range,order,family,extinct,extinct year,sort_v2023,de_name,es_name,ukrainian_name,ar_name
18458,grycuc2,,,subspecies,Blue-headed Vireo,Ceblepyris caesius preussi,"humid montane forest of southeastern Nigeria, Cameroon, and Bioko Island",Passeriformes,Campephagidae (Cuckooshrikes),,,18313,Graublauer Baumläufer,Trepador gris azulado,Сірий дереволаз Пройсса,متسلق الأشجار الرمادي المزرق
18459,grycuc3,,,subspecies,Blue-headed Vireo,Ceblepyris caesius caesius,Zimbabwe and Mozambique to eastern South Africa,Passeriformes,Campephagidae (Cuckooshrikes),,,18314,Graublauer Baumläufer,Trepador gris azulado,Сірий дереволаз,متسلق رمادي أزرق
18460,whbcus2,name change - sciname,"Move Comoro Cuckooshrike Coracina cucullata, Madagascar Cuckooshrike Coracina cinerea, Grauer's Cuckooshrike Coracina graueri, Gray Cuckooshrike Coracina caesia, and White-breasted Cuckooshrike Coracina pectoralis into Ceblepyris, as Comoro Cuckooshrike Ceblepyris cucullatus (with subspecies cucullatus and moheliensis), Madagascar Cuckooshrike Ceblepyris cinereus (with subspecies cinereus and pallidus), Grauer's Cuckooshrike Ceblepyris graueri, Gray Cuckooshrike Ceblepyris caesius (with subspecies purus, preussi, and caesius), and White-breasted Cuckooshrike Ceblepyris pectoralis)",species,White-breasted Cuckooshrike,Ceblepyris pectoralis,brachystegia woodland of sub-Saharan Africa,Passeriformes,Campephagidae (Cuckooshrikes),,,18315,Weißbrust-Kuckuckstelze,Chiví Pechiblanco,Білохвостий кукулівник,كبلبريس بكتوراليس
18461,stbcus1,,,species,Stout-billed Cuckooshrike,Coracina caeruleogrisea,,Passeriformes,Campephagidae (Cuckooshrikes),,,18316,Dickschnabel-Kuckucksvogel,Chincheta de pico grueso,Товстодзьобий кукушковий сорокопуд,كوراسينا كايروليوغريزيا
18462,stbcuc1,,,subspecies,Grey-headed Cuckoo-shrike,Coracina caeruleogrisea strenua,"mountains of western and central New Guinea, including Yapen (Cenderawasih Bay, off northwestern New Guinea)",Passeriformes,Campephagidae (Cuckooshrikes),,,18317,Blaugraue Schwalbenstar,Estornino azul grisáceo,Синьо-сірий шпацер,مغرد أزرق رمادي
18463,stbcuc2,,,subspecies,Grey-headed Cuckoo-shrike,Coracina caeruleogrisea caeruleogrisea,Aru Islands and Trans-Fly lowlands of southern New Guinea,Passeriformes,Campephagidae (Cuckooshrikes),,,18318,Blaugraue Schwalbenschnäpper,Chincol gris azulado,Синьо-сірий коріцин,كوراسينا كايروليوغريزيا
18464,stbcuc3,,,subspecies,Grey-headed Cuckoo-shrike,Coracina caeruleogrisea adamsoni,southeastern New Guinea (Astrolabe Bay to Hall Sound),Passeriformes,Campephagidae (Cuckooshrikes),,,18319,Adamsons Graukopfmöwe,Chincol gris azulado de Adamson,Адамсонів сіроголовий коріцин,كوراسينا كايروليوغريزيا آدمسوني
18465,hoocus1,,,species,Hooded Cuckooshrike,Coracina longicauda,,Passeriformes,Campephagidae (Cuckooshrikes),,,18320,Hauben-Kuckucksschnäpper,Chiví encapuchado,Каптурний кукушкодзьоб,الكوكسوشريك ذو الغطاء
18466,hoocuc1,,,subspecies,Black-faced Cuckooshrike,Coracina longicauda grisea,central New Guinea (Jayawijaya Mountains),Passeriformes,Campephagidae (Cuckooshrikes),,,18321,Graue Langschwanz-Kuckucksvogel,Chincol de cola larga gris,Сіра довгохвоста кориця,كوراسينا لونجيكاودا غريسا
18467,hoocuc2,,,subspecies,Black-faced Cuckooshrike,Coracina longicauda longicauda,central highlands and mountains of Huon Peninsula (northeastern New Guinea),Passeriformes,Campephagidae (Cuckooshrikes),,,18322,Langschwanz-Kuckucksschnäpper,Boyerito de cola larga,Довгохвостий коріцин,كوراسينا ذي الذيل الطويل
18468,piecus1,,,species,Pied Cuckooshrike,Coracina bicolor,"Sulawesi region, including Sangihe, Manterawu, Bangka, Togian, and Banggai islands (off northeast) and Kabaena, Muna, Buton, and Selayar islands (off southeast)",Passeriformes,Campephagidae (Cuckooshrikes),,,18323,Buntwürger,Chiví bicolor,Пестрокрил чорноголовий кукшик,كوراسينا ثنائية اللون
18469,cercus1,,,species,Cerulean Cuckooshrike,Coracina temminckii,,Passeriformes,Campephagidae (Cuckooshrikes),,,18324,Azurwaldsänger,Chincol cerúleo,Блакитний кукулін,كوراسينا تيمينكي
18470,cercuc1,,,subspecies,Black-faced Cuckooshrike,Coracina temminckii temminckii,montane forest of northern Sulawesi,Passeriformes,Campephagidae (Cuckooshrikes),,,18325,Temmincks Graufischer,Chincol de Temminck,Теммінка теммінка,تمينك كوراسينا
18471,cercuc2,,,subspecies,Black-faced Cuckooshrike,Coracina temminckii rileyi,montane forest of central and southeastern Sulawesi,Passeriformes,Campephagidae (Cuckooshrikes),,,18326,Temmincks Rindenvogel,Chincheta de Temminck rileyi,Теммінка теммінка рілей,كوراسينا تيمينكي ريلِي
18472,cercuc3,,,subspecies,Black-faced Cuckooshrike,Coracina temminckii tonkeana,montane forest of eastern Sulawesi,Passeriformes,Campephagidae (Cuckooshrikes),,,18327,Tonkeanische Graukuckuckeule,Chotacabras de Tonkean,Теммінка тонкеанський коріцин,كوراسينا تيمينكي تونكيانا
18473,grocus1,,,species,Ground Cuckooshrike,Coracina maxima,interior of mainland Australia,Passeriformes,Campephagidae (Cuckooshrikes),,,18328,Großer Bodenschlupfvogel,Chincol Terrero,Земляний кукушковий сорокопуд,كوراسينا ماكسيما
18474,yeecus1,,,species,Barred Cuckooshrike,Coracina lineata,,Passeriformes,Campephagidae (Cuckooshrikes),,,18329,Gestreifter Kukuksvogel,Chincol rayado,Смугастий кукушковий сорокопуд,كوراسينا لايناتا
18475,barcuc1,,,subspecies,White-bellied Cuckooshrike,Coracina lineata axillaris,"mountains of central New Guinea, including Waigeo (Raja Ampat Islands, off western New Guinea)",Passeriformes,Campephagidae (Cuckooshrikes),,,18330,Gestreifte Rabenwürger,Chincheta rayada,Смугастий коріцин,كوراسينا مخططة
18476,barcuc2,,,subspecies,Grey-capped Cuckooshrike,Coracina lineata maforensis,"Numfor (Cenderawasih Bay, off northwestern New Guinea)",Passeriformes,Campephagidae (Cuckooshrikes),,,18331,Mafor-Linienschnäpper,Chiví listado de Mafor,Лінійчастий коріцин мафорський,كوراسينا لايناتا مافورينسيس
18477,barcuc3,,,subspecies,Black-faced Cuckooshrike,Coracina lineata sublineata,New Ireland and New Britain (eastern Bismarck Archipelago),Passeriformes,Campephagidae (Cuckooshrikes),,,18332,Gestreifte Schwalbenstar,Chincol listado,Смугастий королик,كوراسينا لايناتا سابليناتا
18478,barcuc4,,,subspecies,Black-fronted Cuckooshrike,Coracina lineata nigrifrons,"Bougainville, Choiseul, and Santa Isabel (northern Solomon Islands)",Passeriformes,Campephagidae (Cuckooshrikes),,,18333,Schwarzstirn-Schwarzschnäpper,Chincheta de frente negra,Чорноголовий королівський сорокопуд,صرد أسود الجبهة
18479,barcuc5,,,subspecies,Black-faced Cuckooshrike,Coracina lineata ombriosa,"Kolombangara, New Georgia Group, and Rendova (west-central Solomon Islands)",Passeriformes,Campephagidae (Cuckooshrikes),,,18334,Gestreifte Schwalbenstar,Chincol listado,Смугастий коріциновий кукша (Coracina lineata ombriosa),كوراسينا لايناتا أومبريوزا
18480,barcuc6,,,subspecies,Black-faced Monarch,Coracina lineata pusilla,Guadalcanal (southeastern Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18335,Kleiner Graufischer,Chincolito gris pequeño,Малий сірий королівський ворона,كوراسينا لايناتا بوسيلا
18481,barcuc7,,,subspecies,Melanesian Cuckooshrike,Coracina lineata malaitae,Malaita (central Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18336,Malaita-Kuckucksschnäpper,Chincheta rayada de Malaita,Малайтський смугастий коріцин,كوراسينا لايناتا مالايتاي
18482,barcuc8,,,subspecies,White-bellied Cuckooshrike,Coracina lineata makirae,Makira (southeastern Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18337,Makira-Kuckucksschnäpper,Chotacabras de Makira,Макіранський коріциновий кукурі,كوراسينا لايناتا ماكيرا
18483,barcuc9,,,subspecies,Black-faced Cuckooshrike,Coracina lineata gracilis,Rennell (southeastern Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18338,Schlanker Graurücken,Graurriquero delgado,Тонкий сіроший,كوراسينا لايناتا جراسيليس
18484,barcuc10,,,subspecies,Black-faced Cuckooshrike,Coracina lineata lineata,northeastern Australia (eastern Cape York Peninsula to northeastern New South Wales),Passeriformes,Campephagidae (Cuckooshrikes),,,18339,Streifen-Maskenschnäpper,Chincheta rayada,Смугастий королівський сорокопуд,الغراب المخطط
18485,boycus1,,,species,Boyer's Cuckooshrike,Coracina boyeri,,Passeriformes,Campephagidae (Cuckooshrikes),,,18340,Boyers Kukuksvogel,Chincheta de Boyer,Кукавка Бойєра,كوراسينا بويري
18486,boycuc1,,,subspecies,Black-faced Monarch,Coracina boyeri boyeri,"western New Guinea, including Salawati and Misool (Raja Ampat Islands, off western New Guinea), and Yapen (Cenderawasih Bay, off northwestern New Guinea)",Passeriformes,Campephagidae (Cuckooshrikes),,,18341,Boyers Rabenwürger,Chincheta de Boyer,Корацина Бойєра,كوراسينا بويري
18487,boycuc2,,,subspecies,Black-faced Cuckooshrike,Coracina boyeri subalaris,southern New Guinea,Passeriformes,Campephagidae (Cuckooshrikes),,,18342,Boyers Schmalschnabel-Kuckuckshäher,Chiví de Boyer subalaris,Бойєрів коріцинник підкрилковий,كوراسينا بويري سوبالاريس
18488,bkfcus1,,,species,Black-faced Cuckooshrike,Coracina novaehollandiae,,Passeriformes,Campephagidae (Cuckooshrikes),,,18343,Schwarzgesicht-Schlupfwürger,Chotacabras Cara Negra,Чорнолиций кукушкодзьоб,كوراسينا نوفاهولانديا
18489,bkfcuc1,,,subspecies,Black-faced Cuckooshrike,Coracina novaehollandiae melanops,"Australia; winters to Moluccas, Lesser Sundas, New Guinea, and western Solomon Islands",Passeriformes,Campephagidae (Cuckooshrikes),,,18344,Neuholland-Schwarzmaskenkuckuck,Cuclillo enmascarado de Nueva Holanda,Новоголландський масковий кулик,طائر كوراسينا نيوهولانديا ميلانوبس
18490,bkfcuc2,,,subspecies,Black-faced Cuckoo-shrike,Coracina novaehollandiae novaehollandiae,"Tasmania, and King and Flinders islands; winters to eastern Australia",Passeriformes,Campephagidae (Cuckooshrikes),,,18345,Neuholland-Schwarzschnäpper,Chincol de Nueva Holanda,Новоголландський коріцин,كوراسينا نيوهولانديا
18491,bkfcuc3,,,subspecies,Black-faced Cuckoo-shrike,Coracina novaehollandiae subpallida,central Western Australia (Pilbara region); winters to Kai Islands,Passeriformes,Campephagidae (Cuckooshrikes),,,18346,Neuholland-Schwarzschnäpper,Chincol de Nueva Holanda,Новоголландський коріцин,كوراسينا نوفاهولاندياي سوبباليدا
18492,melcus3,,,species,North Melanesian Cuckooshrike,Coracina welchmani,,Passeriformes,Campephagidae (Cuckooshrikes),,,18347,Nordmelanesischer Kukuksvogel,Chinche Melanesio Norteño,Північномеланезійський кукушковий сорокопуд,طائر كوكوشرايك ميلانيزي شمالي
18493,nomcuc1,,,subspecies,Bougainvillea Cuckoo,Coracina welchmani bougainvillei,Bougainville (northwestern Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18348,Bougainville-Kuckucksschnäpper,Chotacabras de Bougainville,Буга́нвільський короци́на велчма́на,كوراسينا ويلشماني بوغانفيللي
18494,nomcuc2,,,subspecies,Black-faced Cuckooshrike,Coracina welchmani kulambangrae,Kolombangara (west-central Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18349,Kulambangrae-Kuckucksschnäpper,Chotacabras de Kulambangrae,Куламбангрейський коріцин,كوراسينا ويلشماني كولامبانغراي
18495,nomcuc3,,,subspecies,Black-faced Cuckooshrike,Coracina welchmani welchmani,Santa Isabel (central Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18350,Welchmans Schwalbenschnäpper,Chotacabras de Welchman,Велчмановий коріцин,كوراسينا ويلشماني ويلشماني
18496,nomcuc4,,,subspecies,Black-faced Cuckooshrike,Coracina welchmani amadonis,Guadalcanal (southeastern Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18351,Coracina welchmani amadonis,Coracina welchmani amadonis,Корацина велчмані амадоніс,كوراسينا ويلشماني أمدونيس
18497,whbcus1,,,species,White-bellied Cuckooshrike,Coracina papuensis,,Passeriformes,Campephagidae (Cuckooshrikes),,,18352,Weißbauchkuckucksvogel,Chincheta papuense,Папуський білочеревий кукшайр,كوراسينا بابوينسيس
18498,whbcuc1,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis papuensis,"northern Moluccas, eastern Lesser Sundas (Kisar, Luang, and Sermata), lowlands of northern and western New Guinea (Bird's Head Peninsula eastward, in the north, to the Huon Gulf, and in the south to the Lorentz River), including the Raja Ampat Islands",Passeriformes,Campephagidae (Cuckooshrikes),,,18353,Pazifik-Schwarzschnäpper,Chincheta papuense,Папуський коріцин,كوراسينا بابوينسيس
18499,whbcuc2,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis oriomo,lowlands of southeastern New Guinea and northeastern Australia (northern Queensland),Passeriformes,Campephagidae (Cuckooshrikes),,,18354,Papua-Kuckucksschnäpper,Chotacabras papuense oriomo,Папуський коріцин (підвид oriomo),كوراسينا بابوينسيس أوريومو
18500,whbcuc3,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis angustifrons,southeastern New Guinea (Huon Gulf to Hall Sound),Passeriformes,Campephagidae (Cuckooshrikes),,,18355,Papua-Schwarzschnäpper,Papamoscas papuano,Папуський чорноголовий мухолов,ذبابة بابوا السوداء
18501,whbcuc4,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis louisiadensis,"Tagula (Louisiade Archipelago, off southeastern New Guinea)",Passeriformes,Campephagidae (Cuckooshrikes),,,18356,Louisiaden-Kuckucksschnäpper,Chotacabras de Louisiadas,Луїзіадський коріцин,كوراسينا بابوينسيس لويزيادينسيس
18502,whbcuc5,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis sclaterii,Bismarck Archipelago,Passeriformes,Campephagidae (Cuckooshrikes),,,18357,Papua-Schwarzschnäpper,Chincheta papuana,Папуський чорноголовий сорокопуд,الغراب الأسود البابوي
18503,whbcuc6,,,subspecies,White-bellied Cuckooshrike,Coracina papuensis perpallida,"Bougainville, Choiseul, Santa Isabel, and Florida (northern Solomon Islands)",Passeriformes,Campephagidae (Cuckooshrikes),,,18358,Papua-Kuckucksschnäpper,Chotacabras papuense perpálido,Папуський кукушковий сорокопуд,كوراسينا بابوينسيس بيرباليدا
18504,whbcuc7,,,subspecies,Black-faced Monarch,Coracina papuensis elegans,"New Georgia Group, Rendova, and Guadalcanal (central Solomon Islands)",Passeriformes,Campephagidae (Cuckooshrikes),,,18359,Papua-Schwarzschnäpper,Papamoscas papuano,Папуський чорний мухолов,ذبابة بابوا السوداء
18505,whbcuc8,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis eyerdami,Malaita (central Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18360,Papua-Kuckucksschnäpper,Chiví papuano,Папуський корицяний сорокопуд,كوراسينا بابوينسيس إيردامي
18506,whbcuc9,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis timorlaoensis,Tanimbar Islands (Banda Sea),Passeriformes,Campephagidae (Cuckooshrikes),,,18361,Timorlao-Schwarzschnäpper,Chiví de Timorlao,Тиморлаоський чорногуз,كوراسينا بابوينسيس تيمورلاوينسيس
18507,whbcuc10,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis hypoleuca,"north-central Australia (northeastern Western Australia to northwestern Queensland); nonbreeding migrant northward to Tanimbar, Kai, and Aru island groups probably this subspecies",Passeriformes,Campephagidae (Cuckooshrikes),,,18362,Papua-Kuckucksschnäpper,Chotacabras papuense hipoleuca,Папуський чорногуз,كوراسينا بابوينسيس هيبوليكا
18508,whbcuc11,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis apsleyi,Melville and Bathurst islands (Northern Territory),Passeriformes,Campephagidae (Cuckooshrikes),,,18363,Papua-Kuckucksschnäpper (Unterart apsleyi),Chiví papuano (subespecie apsleyi),Папуський коріцин (підвид apsleyi),كوراسينا بابوينسيس apsleyi
18509,whbcuc12,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis artamoides,central and eastern Queensland to northern New South Wales,Passeriformes,Campephagidae (Cuckooshrikes),,,18364,Papua-Kuckucksschnäpper,Chincheta papuana,Папуський корицяний кукша,كوراسينا بابوينسيس أرتامويدس
18510,whbcuc13,,,subspecies,Black-faced Cuckooshrike,Coracina papuensis robusta,north-central and eastern New South Wales to southwestern Victoria and adjacent southeastern South Australia,Passeriformes,Campephagidae (Cuckooshrikes),,,18365,Papua-Schwarzschnäpper,Papamoscas papuano,Папуський чорноголовий мухолов,ذبابة بابوا السوداء
18511,molcus1,,,species,Moluccan Cuckooshrike,Coracina atriceps,,Passeriformes,Campephagidae (Cuckooshrikes),,,18366,Molukken-Kuckucksschnäpper,Chotacabras de Molucas,Молуккський зозуля-сорокопуд,كوكوشريك المولوك
18512,molcuc4,,,subspecies,Black-faced Cuckooshrike,Coracina atriceps magnirostris,"northern Moluccas (Ternate, Halmahera, Bacan, and Kasiruta)",Passeriformes,Campephagidae (Cuckooshrikes),,,18367,Großschnabel-Kuckuckshaubenwürger,Chincheta pico grueso,Великий дзьоб коріцин,كوراسينا أترسيبس ماغنيرستريس
18513,molcuc5,,,subspecies,Black-faced Cuckooshrike,Coracina atriceps atriceps,Seram (southern Moluccas),Passeriformes,Campephagidae (Cuckooshrikes),,,18368,Schwarzscheitel-Kuckucksschnäpper,Chotacabras cabecinegro,Чорноголовий коріцин,كوراسينا أترسپس أترسپس
18514,whbcus4,,,species,Manus Cuckooshrike,Coracina ingens,Admiralty Islands (Manus and Los Negros),Passeriformes,Campephagidae (Cuckooshrikes),,,18369,Manus-Kuckucksschnäpper,Chincheta de Manus,Мануський зозулинник,كوراسينا إنجينس
18515,melcus1,,,species,South Melanesian Cuckooshrike,Coracina caledonica,,Passeriformes,Campephagidae (Cuckooshrikes),,,18370,Südmelanesischer Kukuksvogel,Chincol melanesio del sur,Південний меланезійський кукушковий сорокопуд,طائر الكوكوششيرك الميلانيزي الجنوبي
18516,somcuc1,,,subspecies,Melanesian Cuckoo-Dove,Coracina caledonica thilenii,"Espiritu Santo, Malo, and Malakula (northern Vanuatu)",Passeriformes,Campephagidae (Cuckooshrikes),,,18371,Neukaledonische Grauflügelschwalbe,Chincol de Nueva Caledonia,Новокаледонійський коріцин,كوراسينا كاليدونيكا ثيليني
18517,somcuc2,,,subspecies,Melanesian Cuckooshrike,Coracina caledonica seiuncta,Erromango (southern Vanuatu),Passeriformes,Campephagidae (Cuckooshrikes),,,18372,Neukaledonische Schwalbenschnäpper-Unterart,Subespecie de Coracina caledonica,Підвид Coracina caledonica,نوع فرعي من Coracina caledonica
18518,somcuc3,,,subspecies,Melanesian Cuckooshrike,Coracina caledonica lifuensis,Lifou (Loyalty Islands),Passeriformes,Campephagidae (Cuckooshrikes),,,18373,Lifou-Kuckucksschnäpper,Chotacabras de Lifou,Ліфуський коріцин,كوراسينا كاليدونيكا ليفوينسيس
18519,somcuc4,,,subspecies,Melanesian Cuckooshrike,Coracina caledonica caledonica,New Caledonia,Passeriformes,Campephagidae (Cuckooshrikes),,,18374,Neukaledonische Schwalbenschnäpper,Chotacabra de Nueva Caledonia,Новокаледонський коріцин,كوراسينا كاليدونيكا
18520,larcuc1,split,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",species,Indian Cuckooshrike,Coracina macei,,Passeriformes,Campephagidae (Cuckooshrikes),,,18376,Indischer Kukuksvogel,Chincheta india,Індійський кукушковий сорокопуд,الغراب الهندي
18521,larcuc4,,,subspecies,Black-faced Cuckooshrike,Coracina macei macei,"central and southern India from Uttarakhand eastward to West Bengal and Odisha, and southward to Kerala",Passeriformes,Campephagidae (Cuckooshrikes),,,18377,Mäusebussard,Gavilán de Macei,Масеїв королівський сорокопуд,كوراسينا ماسيي ماسيي
18522,larcuc5,,,subspecies,Black-faced Cuckooshrike,Coracina macei layardi,Sri Lanka,Passeriformes,Campephagidae (Cuckooshrikes),,,18378,Layards Graukopfschnäpper,Chincheta de Layard,Лайардів сіроголовий сорокопуд,صرد لايارد الرمادي
18523,larcuc11,lump,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",species,Oriental Cuckooshrike,Coracina javensis,,Passeriformes,Campephagidae (Cuckooshrikes),,,,Javanische Rabenwürger,Chotacabras oriental,Яванський вороновий сорокопуд,كوراسينا جافينسيس
18524,javcus1,lump,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",group (monotypic),Oriental Cuckooshrike (Javan),Coracina javensis javensis,Java and Bali,Passeriformes,Campephagidae (Cuckooshrikes),,,18409,Javanische Graukuckucke,Chotacabras de Java,Яванський сірощокий кукша,الغراب الشرقي الجاوي
18525,larcuc2,split; lump; concept change for group,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",group (polytypic),Oriental Cuckooshrike (Oriental),Coracina javensis [nipalensis Group],,Passeriformes,Campephagidae (Cuckooshrikes),,,18379,Orientalische Kukuksschnäpper,Chincol oriental,Східний кукушковий сорокопуд,الغراب الشرقي
18526,larcuc6,split; lump,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",subspecies,Black-faced Babbler,Coracina javensis nipalensis,"lower Himalayas of India to Nepal, Sikkim, and western Assam",Passeriformes,Campephagidae (Cuckooshrikes),,,18380,Javanische Schmalschnabel-Kuckuckshäher,Chiví javanés nipalense,Яванський коріцин ніпаленсіс,كوراسينا جافينسيس نيپالينسيس
18527,larcuc7,split; lump,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",subspecies,White-bellied Cuckooshrike,Coracina javensis andamana,Andaman Islands,Passeriformes,Campephagidae (Cuckooshrikes),,,18381,Andamanenkuckucksschnäpper,Chincheta de Andamán,Андманський коріцин,كوراسينا جافينسيس أندامانا
18528,larcuc8,split; lump,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",subspecies,Black-winged Cuckooshrike,Coracina javensis siamensis,"southwestern China (southeastern Yunnan) to Myanmar, peninsular Thailand, and southern Indochina",Passeriformes,Campephagidae (Cuckooshrikes),,,18382,Javanische Grauflügelschnäpper,Chotacabras de Java siamés,Яванська сіамська корцина,كوراسينا جافينسيس سيامنسيس
18529,larcuc10,split; lump,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",subspecies,Black-faced Cuckooshrike,Coracina javensis larvivora,Hainan (southern China),Passeriformes,Campephagidae (Cuckooshrikes),,,18384,Javanische Grauflügelschwalbe,Chincheta de Java,Яванська кориця (підвид larvivora),كوراسينا جاڤينسيس لارفيفورا
18530,larcuc9,new group,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",group (monotypic),Oriental Cuckooshrike (East Asian),Coracina javensis rexpineti,"southeastern China (Fujian, Guangdong, and Yunnan) to northern Laos and Taiwan",Passeriformes,Campephagidae (Cuckooshrikes),,,18383,Ostasiatischer Kukuksvogel,Chincol oriental,Східноазійський кукушковий сорокопуд,الغراب الشرقي الآسيوي
18532,larcuc3,split,"Large Cuckooshrike Coracina macei is split into Indian Cuckooshrike Coracina macei (with subspecies macei and layardi), Malayan Cuckooshrike Coracina larutensis, and, *with lump of Javan Cuckooshrike Coracina javensis, Oriental Cuckooshrike Coracina javensis (with subspecies javensis, nipalensis, andamana, siamensis, larvivora, and rexpineti)",species,Malayan Cuckooshrike,Coracina larutensis,peninsular Malaysia,Passeriformes,Campephagidae (Cuckooshrikes),,,18385,Malaiischer Kukuksvogel,Chotacabras malayo,Малайський кукушковий сорокопуд,طائر الكوكوش الملايوي
18533,babcus1,split,"Bar-bellied Cuckooshrike Coracina striata is split into Mindoro Cuckooshrike Coracina mindorensis, Visayan Cuckooshrike Coracina panayensis, Mindanao Cuckooshrike Coracina kochii (with subspecies boholensis and kochii), Sulu Cuckooshrike Coracina guillemardi, and Bar-bellied Cuckooshrike Coracina striata (with subspecies sumatrensis, bungurensis, simalurensis, babiensis, kannegieteri, enganensis, vordermani, striata, cebuensis, and difficilis)",species,Bar-bellied Cuckooshrike,Coracina striata,,Passeriformes,Campephagidae (Cuckooshrikes),,,18386,Gestreifter Kuckucksschnäpper,Chincheta Barrada,Смугастий кукушковий сорокопуд,كوراسينا سترياتا
18534,babcuc25,,"Bar-bellied Cuckooshrike Coracina striata is split into Mindoro Cuckooshrike Coracina mindorensis, Visayan Cuckooshrike Coracina panayensis, Mindanao Cuckooshrike Coracina kochii (with subspecies boholensis and kochii), Sulu Cuckooshrike Coracina guillemardi, and Bar-bellied Cuckooshrike Coracina striata (with subspecies sumatrensis, bungurensis, simalurensis, babiensis, kannegieteri, enganensis, vordermani, striata, cebuensis, and difficilis)",group (polytypic),Bar-bellied Cuckooshrike (Roving),Coracina striata [sumatrensis Group],,Passeriformes,Campephagidae (Cuckooshrikes),,,18387,Gestreifter Kuckucksschnäpper,Chincheta estriada,Смугастий кукушковий сорокопуд,طائر كوكوشرايك مخطط البطن
